Size;Test_Number;BFS;DFS;BestFS
Size 3;Test_Number 1;BFS 10;DFS 3;BestFS 5
Size 3;Test_Number 2;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 3;BFS 4;DFS 2;BestFS 3
Size 3;Test_Number 4;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 5;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 6;BFS 3;DFS 3;BestFS 3
Size 3;Test_Number 7;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 8;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 9;BFS 5;DFS 3;BestFS 14
Size 3;Test_Number 10;BFS 4;DFS 3;BestFS 4
Size 3;Test_Number 11;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 12;BFS 3;DFS 3;BestFS 3
Size 3;Test_Number 13;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 14;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 15;BFS 3;DFS 3;BestFS 25
Size 3;Test_Number 16;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 17;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 18;BFS 3;DFS 2;BestFS 4
Size 3;Test_Number 19;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 20;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 21;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 22;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 23;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 24;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 25;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 26;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 27;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 28;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 29;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 30;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 31;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 32;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 33;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 34;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 35;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 36;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 37;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 38;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 39;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 40;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 41;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 42;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 43;BFS 3;DFS 3;BestFS 3
